20.05.2019                                                                                     Saída dinâmica de lista                                                                                             1


		CgDF	OrgV	Dt.fatur.	EmissorOrd	TipFt	PRec	Doc.SD	CDst	SA	Ctg.doc.	Endereço	Nome emissor ordem	Cidade EO	CrtOrdenaç	Numer.	LExp	Status CRR	  Val.líq.	Moeda	Tp.	Nm.tp.DV	Dt.fatur.	TipFt	Status	Grupo

	X	L	1001	17.05.2019	119813	ZVMI	BR	80000120	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000121	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000122	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000123	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000124	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000125	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000126	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000128	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000129	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000130	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
